hub_id,hub_label,work_id,paper_id,year,doi,supporting_member_node_count,official_gold
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2025-adtn-nn-compression,D050,2025,10.34133/icomputing.0123,1,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2025-ifmps-hong-rui,D049,2025,10.1103/PhysRevB.111.245109,1,1
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2026-icomputing-qml-orthogonality,D056,2026,10.34133/icomputing.0232,1,0
academic/wiki/hubs/PEPS/PESS 表示及高维推广,PEPS/PESS 表示及高维推广,2026-mpe-prl,D053,2026,10.1103/6y5p-mp7q,2,0
academic/wiki/hubs/价键固体与价键晶体,价键固体与价键晶体,2017-octa-kagome,D012,2017,10.1103/PhysRevB.95.075140,1,1
academic/wiki/hubs/价键固体与价键晶体,价键固体与价键晶体,2018-emergent-spin-1-trimerized-valence-bond-crystal,D017,2018,10.1103/PhysRevB.97.075146,2,1
academic/wiki/hubs/价键固体与价键晶体,价键固体与价键晶体,2023-kagome-方大智,D042,2023,10.1103/PhysRevB.107.L220401,1,0
academic/wiki/hubs/张量网络方法与机器学习,张量网络方法与机器学习,2017-fewbody-qes-ground-states,D014,2017,10.1103/PhysRevB.96.155120,2,1
academic/wiki/hubs/张量网络方法与机器学习,张量网络方法与机器学习,2025-adtn-nn-compression,D050,2025,10.34133/icomputing.0123,2,0
academic/wiki/hubs/关联长度与最近邻关联诊断,关联长度与最近邻关联诊断,2013-kt-phase,D007,2013,10.1103/PhysRevE.87.032151,1,0
academic/wiki/hubs/关联长度与最近邻关联诊断,关联长度与最近邻关联诊断,2017-octa-kagome,D012,2017,10.1103/PhysRevB.95.075140,3,1
academic/wiki/hubs/关联长度与最近邻关联诊断,关联长度与最近邻关联诊断,2018-091彭程,D020,2019,,1,0
academic/wiki/hubs/关联长度与最近邻关联诊断,关联长度与最近邻关联诊断,2025-ifmps-hong-rui,D049,2025,10.1103/PhysRevB.111.245109,1,1
academic/wiki/hubs/关联长度与最近邻关联诊断,关联长度与最近邻关联诊断,2026-fdz-kagome-magnetic-platform,D055,2026,10.1103/vwx9-3zwj,4,0
academic/wiki/hubs/msQFM 及其编码方案,msQFM 及其编码方案,2026-cpb-chaos-ml,D052,2026,10.1088/1674-1056/adeb5b,1,0
academic/wiki/hubs/msQFM 及其编码方案,msQFM 及其编码方案,2026-icomputing-qml-orthogonality,D056,2026,10.34133/icomputing.0232,2,0
