step,entry_id,work_id,publication_date,title,page,reuse,create,abstain,reuse_fraction_R,eligible_canonical_nodes,multi_source_nodes,multi_source_consolidation_M,old_nodes,changed_old_nodes,old_node_membership_churn_C,candidate_event_count,committed_event_count,hub_births,hub_splits,hub_merges,hub_retirements,is_sensitivity_entry
42,2023-kagome-方大智,2023-kagome-方大智,2023,Nature of the 1/9-magnetization plateau in the spin- <sup>1</sup> kagome Heisenberg antiferromagnet,academic/wiki/papers/D042-2023-kagome-方大智,3,9,0,0.25,591,51,0.0862944162437,582,7,0.0120274914089,3,2,2,0,0,0,False
43,2023-schmidt-tns-prl,2023-schmidt-tns-prl,2023,Tensor Network Efficiently Representing Schmidt Decomposition of Quantum Many-Body States,academic/wiki/papers/D043-2023-schmidt-tns-prl,4,8,0,0.333333333333,599,53,0.0884808013356,591,8,0.0135363790186,1,0,0,0,0,0,False
44,2023-luying-quvis,2023-luying-quvis,2023,Quantum compiling with a variational instruction set for accurate and fast quantum computing,academic/wiki/papers/D044-2023-luying-quvis,0,7,0,0,606,53,0.0874587458746,599,0,0,1,0,0,0,0,0,False
45,2023-resmps,2023-resmps,2023,Residual matrix product state for machine learning,academic/wiki/papers/D045-2023-resmps,3,16,0,0.157894736842,622,53,0.0852090032154,606,0,0,1,0,0,0,0,0,False
46,2023-王顶族qes边界奇异性,2023-王顶族qes边界奇异性,2024,Boundary-induced singularity in strongly-correlated quantum systems at finite temperature,academic/wiki/papers/D046-2023-王顶族qes边界奇异性,3,11,1,0.214285714286,634,53,0.083596214511,622,3,0.0048231511254,3,1,1,0,0,0,False
47,2024-wang-eth-inhomogeneous,2024-wang-eth-inhomogeneous,2024,Eigenstate thermalization and its breakdown in quantum spin chains with inhomogeneous interactions,academic/wiki/papers/D047-2024-wang-eth-inhomogeneous,2,105,0,0.018691588785,738,53,0.0718157181572,634,2,0.00315457413249,8,0,0,0,0,0,True
48,2024-luying-entanglement-prl,2024-luying-entanglement-prl,2024,Persistent Ballistic Entanglement Spreading with Optimal Control in Quantum Spin Chains,academic/wiki/papers/D048-2024-luying-entanglement-prl,2,14,0,0.125,752,53,0.0704787234043,738,0,0,8,0,0,0,0,0,False
49,2025-ifmps-hong-rui,2025-ifmps-hong-rui,2025,Entanglement scaling and criticality of infinite-size quantum many-body systems in continuous space addressed by a tensor network approach,academic/wiki/papers/D049-2025-ifmps-hong-rui,6,12,0,0.333333333333,764,54,0.0706806282723,752,0,0,8,0,0,0,0,0,False
50,2025-adtn-nn-compression,2025-adtn-nn-compression,2025,Compressing Neural Networks Using Tensor Networks with Exponentially Fewer Variational Parameters,academic/wiki/papers/D050-2025-adtn-nn-compression,5,29,0,0.147058823529,794,56,0.0705289672544,764,1,0.00130890052356,8,0,0,0,0,0,False
51,2026-tianda-graph-qml,2026-tianda-graph-qml,2026,Unveiling the nature of graphs through quantum graphon learning,academic/wiki/papers/D051-2026-tianda-graph-qml,0,16,0,0,810,56,0.0691358024691,794,1,0.00125944584383,8,0,0,0,0,0,False
52,2026-cpb-chaos-ml,2026-cpb-chaos-ml,2026,Machine learning of chaotic characteristics in classical nonlinear dynamics using variational quantum circuit,academic/wiki/papers/D052-2026-cpb-chaos-ml,3,13,0,0.1875,824,58,0.0703883495146,810,0,0,8,0,0,0,0,0,False
53,2026-mpe-prl,2026-mpe-prl,2026,Matrix-Product Entanglement Characterizing the Optimality of State-Preparation Quantum Circuits,academic/wiki/papers/D053-2026-mpe-prl,2,8,0,0.2,832,58,0.0697115384615,824,0,0,8,0,0,0,0,0,False
54,2026-setn-zhu-hao,2026-setn-zhu-hao,2026,Statistics-encoded tensor network approach in disordered quantum many-body spin chains,academic/wiki/papers/D054-2026-setn-zhu-hao,3,19,0,0.136363636364,851,59,0.069330199765,832,0,0,8,0,0,0,0,0,False
55,2026-fdz-kagome-magnetic-platform,2026-fdz-kagome-magnetic-platform,2026,Exotic transition and reentrance on the 1/9 magnetization plateau in a spin-1/2 anisotropic kagome antiferromagnet,academic/wiki/papers/D055-2026-fdz-kagome-magnetic-platform,4,22,2,0.153846153846,872,59,0.0676605504587,851,4,0.00470035252644,10,1,1,0,0,0,False
56,2026-icomputing-qml-orthogonality,2026-icomputing-qml-orthogonality,2026,Orthogonality in Quantum-Probabilistic Machine Learning: An Investigation on Multiqubit Encoding,academic/wiki/papers/D056-2026-icomputing-qml-orthogonality,4,15,0,0.210526315789,887,60,0.0676437429538,872,11,0.0126146788991,10,1,1,0,0,0,False
