step,entry_id,is_sensitivity_entry,R_observed,R_observation_excluding_sensitivity_entry,R_cumulative,R_cumulative_excluding_sensitivity_entry,M_observed,M_direct_contribution_excluding_sensitivity_entry,M_numerator_excluding_sensitivity_entry,M_denominator_excluding_sensitivity_entry,sensitivity_entry_exclusive_nodes,C_observed,C_direct_nodes_excluding_sensitivity_entry,C_excluded_old_nodes
46,2023-王顶族qes边界奇异性,False,0.214285714286,0.214285714286,0.21679197995,0.21679197995,0.083596214511,0.083596214511,53,634,0,0.0048231511254,0.0048231511254,0
47,2024-wang-eth-inhomogeneous,True,0.018691588785,,0.193370165746,0.21679197995,0.0718157181572,0.083596214511,53,634,104,0.00315457413249,0.00315457413249,0
48,2024-luying-entanglement-prl,False,0.125,0.125,0.192182410423,0.214987714988,0.0704787234043,0.0817901234568,53,648,104,0,0,104
49,2025-ifmps-hong-rui,False,0.333333333333,0.333333333333,0.194888178914,0.217548076923,0.0706806282723,0.0818181818182,54,660,104,0,0,104
50,2025-adtn-nn-compression,False,0.147058823529,0.147058823529,0.193216855087,0.214780600462,0.0705289672544,0.0811594202899,56,690,104,0.00130890052356,0.00151515151515,104
51,2026-tianda-graph-qml,False,0,0,0.190091001011,0.210884353741,0.0691358024691,0.0793201133144,56,706,104,0.00125944584383,0.00144927536232,104
52,2026-cpb-chaos-ml,False,0.1875,0.1875,0.190049751244,0.210467706013,0.0703883495146,0.0805555555556,58,720,104,0,0,104
53,2026-mpe-prl,False,0.2,0.2,0.190147783251,0.210352422907,0.0697115384615,0.0796703296703,58,728,104,0,0,104
54,2026-setn-zhu-hao,False,0.136363636364,0.136363636364,0.189006750241,0.208602150538,0.069330199765,0.0789825970549,59,747,104,0,0,104
55,2026-fdz-kagome-magnetic-platform,False,0.153846153846,0.153846153846,0.188146754468,0.207112970711,0.0676605504587,0.0768229166667,59,768,104,0.00470035252644,0.0053547523427,104
56,2026-icomputing-qml-orthogonality,False,0.210526315789,0.210526315789,0.18853974122,0.207179487179,0.0676437429538,0.0766283524904,60,783,104,0.0126146788991,0.0143229166667,104
